tasks,utilization,gpu
1,0.15251999999999807,0
1,0.15251999999999807,1
1,0.15251999999999807,2
1,0.15251999999999807,3
1,0.15251999999999807,4
1,0.15251999999999807,5
1,0.15251999999999807,6
1,0.15251999999999807,7
1,0.15251999999999807,8
1,0.15251999999999807,9
1,0.15251999999999807,10
1,0.15251999999999807,11
1,0.15251999999999807,12
1,0.15251999999999813,13
1,0.15251999999999813,14
1,0.15251999999999813,15
1,0.15251999999999807,16
1,0.15251999999999813,17
1,0.15251999999999807,18
1,0.15251999999999807,19
1,0.15251999999999813,20
1,0.15251999999999807,21
1,0.15251999999999813,22
1,0.15251999999999813,23
1,0.15251999999999807,24
1,0.15251999999999813,25
1,0.15251999999999813,26
1,0.15251999999999807,27
1,0.15251999999999813,28
1,0.15251999999999807,29
1,0.15251999999999807,30
1,0.15251999999999807,31
1,0.15251999999999807,32
1,0.15251999999999807,33
1,0.15251999999999807,34
1,0.15251999999999807,35
1,0.15251999999999807,36
1,0.15251999999999807,37
1,0.15251999999999807,38
1,0.15251999999999807,39
1,0.15251999999999807,40
1,0.15251999999999807,41
1,0.15251999999999807,42
1,0.15251999999999807,43
1,0.15251999999999807,44
1,0.15251999999999807,45
1,0.15251999999999807,46
1,0.15251999999999807,47
1,0.15251999999999807,48
1,0.15251999999999807,49
1,0.15251999999999807,50
1,0.15251999999999807,51
1,0.15251999999999807,52
1,0.15251999999999807,53
1,0.15251999999999807,54
1,0.1525199999999981,55
1,0.15251999999999807,56
1,0.1525199999999981,57
1,0.1525199999999981,58
1,0.15251999999999807,59
1,0.15251999999999807,60
1,0.15251999999999807,61
1,0.15251999999999807,62
1,0.1525199999999981,63
1,0.1525199999999981,64
1,0.15251999999999807,65
1,0.15251999999999807,66
1,0.15251999999999807,67
1,0.15251999999999807,68
1,0.15251999999999807,69
1,0.15251999999999807,70
1,0.15251999999999807,71
1,0.15251999999999807,72
1,0.15251999999999807,73
1,0.15251999999999807,74
1,0.15251999999999807,75
1,0.15251999999999807,76
1,0.15251999999999807,77
1,0.15251999999999807,78
1,0.15251999999999807,79
1,0.15251999999999807,80
1,0.15251999999999807,81
1,0.15251999999999807,82
1,0.15251999999999807,83
1,0.15251999999999807,84
1,0.15251999999999807,85
1,0.15251999999999807,86
1,0.15251999999999807,87
1,0.15251999999999807,88
1,0.15248888888888656,89
1,0.1524841666666644,90
1,0.15247416666666438,91
1,0.15244416666666433,92
1,0.15242611111110888,93
1,0.15239361111110894,94
1,0.15238111111110894,95
1,0.1523447222222201,96
1,0.15233222222222007,97
1,0.1522994444444423,98
1,0.15228749999999808,99
1,0.15224194444444233,100
1,0.1522291666666646,101
1,0.152191111111109,102
1,0.15217861111110897,103
1,0.15214499999999784,104
1,0.1521324999999981,105
1,0.15209222222222019,106
1,0.15203861111110914,107
1,0.1519911111111092,108
1,0.15197361111110916,109
1,0.1519422222222203,110
1,0.15192861111110922,111
1,0.1518999999999981,112
1,0.1518999999999981,113
1,0.1518999999999981,114
1,0.1518999999999981,115
1,0.1518999999999981,116
1,0.1518999999999981,117
1,0.1518999999999981,118
1,0.1518999999999981,119
1,0.1518999999999981,120
1,0.1518999999999981,121
1,0.1518999999999981,122
1,0.1518999999999981,123
1,0.1518999999999981,124
1,0.1518999999999981,125
1,0.1518999999999981,126
1,0.1518999999999981,127
8,0.8133097222221259,0
8,0.8132605555554597,1
8,0.8131094444443487,2
8,0.8130638888887932,3
8,0.8130405555554596,4
8,0.8130144444443486,5
8,0.812986666666571,6
8,0.8127338888887932,7
8,0.8127066666665711,8
8,0.8126852777776823,9
8,0.8127491666665712,10
8,0.812643611111015,11
8,0.8126338888887926,12
8,0.8126216666665707,13
8,0.8126502777776816,14
8,0.8126324999999037,15
8,0.07990249999999899,16
8,0.07990249999999899,17
8,0.07990249999999897,18
8,0.07974749999999897,19
8,0.07951499999999898,20
8,0.079359999999999,21
8,0.079437499999999,22
8,0.079437499999999,23
8,0.079437499999999,24
8,0.079437499999999,25
8,0.07951499999999899,26
8,0.07951499999999899,27
8,0.07928249999999899,28
8,0.07928249999999899,29
8,0.07928249999999899,30
8,0.07928249999999899,31
8,0.027899999999999644,32
8,0.027899999999999644,33
8,0.027899999999999644,34
8,0.02789999999999965,35
8,0.027899999999999644,36
8,0.027899999999999644,37
8,0.02789999999999966,38
8,0.02789999999999965,39
8,0.02789999999999965,40
8,0.02789999999999965,41
8,0.02789999999999965,42
8,0.02789999999999965,43
8,0.02789999999999965,44
8,0.027899999999999637,45
8,0.027899999999999637,46
8,0.027899999999999637,47
8,0.08617999999999904,48
8,0.08617999999999904,49
8,0.08617999999999904,50
8,0.08617999999999909,51
8,0.08617999999999908,52
8,0.08617999999999908,53
8,0.08617999999999902,54
8,0.08617999999999902,55
8,0.08617999999999902,56
8,0.08617999999999902,57
8,0.08617999999999902,58
8,0.08617999999999902,59
8,0.08586999999999902,60
8,0.08555999999999903,61
8,0.08555999999999903,62
8,0.08555999999999903,63
8,0.016739999999999783,64
8,0.016739999999999783,65
8,0.016739999999999783,66
8,0.016739999999999783,67
8,0.016739999999999783,68
8,0.016739999999999783,69
8,0.016739999999999783,70
8,0.016739999999999783,71
8,0.016739999999999783,72
8,0.016739999999999783,73
8,0.016739999999999783,74
8,0.016739999999999783,75
8,0.016739999999999783,76
8,0.016429999999999785,77
8,0.016119999999999805,78
8,0.01611999999999979,79
8,0.031619999999999586,80
8,0.031619999999999586,81
8,0.031619999999999586,82
8,0.031619999999999586,83
8,0.031619999999999586,84
8,0.031619999999999586,85
8,0.031619999999999586,86
8,0.031619999999999586,87
8,0.031619999999999586,88
8,0.031619999999999586,89
8,0.031619999999999586,90
8,0.031619999999999586,91
8,0.031619999999999586,92
8,0.031619999999999586,93
8,0.031619999999999586,94
8,0.031619999999999586,95
8,0.018599999999999766,96
8,0.017979999999999774,97
8,0.017979999999999774,98
8,0.017979999999999774,99
8,0.017979999999999774,100
8,0.017979999999999767,101
8,0.017979999999999767,102
8,0.017979999999999767,103
8,0.017979999999999767,104
8,0.017979999999999767,105
8,0.017979999999999767,106
8,0.017979999999999767,107
8,0.017979999999999767,108
8,0.017979999999999767,109
8,0.017979999999999767,110
8,0.017979999999999767,111
8,0.013019999999999837,112
8,0.013019999999999837,113
8,0.013019999999999837,114
8,0.013019999999999842,115
8,0.013019999999999846,116
8,0.013019999999999846,117
8,0.013019999999999837,118
8,0.01301999999999983,119
8,0.01301999999999983,120
8,0.01301999999999983,121
8,0.01301999999999983,122
8,0.01301999999999983,123
8,0.01301999999999983,124
8,0.01301999999999983,125
8,0.01301999999999983,126
8,0.01301999999999983,127
15,0.06199999999999922,0
15,0.06199999999999922,1
15,0.06199999999999922,2
15,0.06199999999999922,3
15,0.06199999999999923,4
15,0.06199999999999922,5
15,0.061999999999999215,6
15,0.06168999999999922,7
15,0.06137999999999922,8
15,0.973711388888798,9
15,0.9736102777776868,10
15,0.9735238888887982,11
15,0.973621944444354,12
15,0.9736161111110203,13
15,0.9735680555554649,14
15,0.9734947222221318,15
15,0.9736788888887978,16
15,0.8033252777776796,17
15,0.05665249999999926,18
15,0.05680749999999926,19
15,0.05680749999999926,20
15,0.05680749999999926,21
15,0.05665249999999926,22
15,0.05680749999999926,23
15,0.056497499999999264,24
15,0.05680749999999926,25
15,0.06757999999999921,26
15,0.06757999999999921,27
15,0.06757999999999921,28
15,0.0675799999999992,29
15,0.06695999999999927,30
15,0.0669599999999992,31
15,0.06695999999999921,32
15,0.06695999999999921,33
15,0.049289999999999404,34
15,0.030922499999999596,35
15,0.0308449999999996,36
15,0.0308449999999996,37
15,0.030844999999999612,38
15,0.030302499999999604,39
15,0.030302499999999604,40
15,0.0305349999999996,41
15,0.030302499999999604,42
15,0.05269999999999936,43
15,0.05269999999999934,44
15,0.05269999999999934,45
15,0.05269999999999934,46
15,0.05269999999999933,47
15,0.052699999999999324,48
15,0.05207999999999933,49
15,0.052079999999999335,50
15,0.038439999999999516,51
15,0.024799999999999683,52
15,0.024799999999999683,53
15,0.024799999999999683,54
15,0.024799999999999694,55
15,0.0241799999999997,56
15,0.0241799999999997,57
15,0.024179999999999684,58
15,0.024179999999999684,59
15,0.026039999999999765,60
15,0.026039999999999765,61
15,0.026039999999999765,62
15,0.026039999999999765,63
15,0.026039999999999765,64
15,0.026039999999999754,65
15,0.026039999999999747,66
15,0.02603999999999975,67
15,0.022319999999999757,68
15,0.018599999999999766,69
15,0.018599999999999766,70
15,0.018599999999999766,71
15,0.01859999999999977,72
15,0.01859999999999976,73
15,0.01828999999999976,74
15,0.017979999999999767,75
15,0.017979999999999767,76
15,0.025419999999999675,77
15,0.025419999999999675,78
15,0.025419999999999675,79
15,0.025419999999999675,80
15,0.025419999999999675,81
15,0.025419999999999675,82
15,0.02541999999999968,83
15,0.025109999999999688,84
15,0.03874999999999951,85
15,0.05269999999999935,86
15,0.05269999999999936,87
15,0.05269999999999935,88
15,0.052699999999999345,89
15,0.05269999999999935,90
15,0.05207999999999942,91
15,0.05207999999999935,92
15,0.05207999999999935,93
15,0.036424999999999534,94
15,0.03642499999999954,95
15,0.036657499999999524,96
15,0.03657999999999952,97
15,0.036657499999999524,98
15,0.036657499999999524,99
15,0.036657499999999524,100
15,0.03650249999999952,101
15,0.02836499999999963,102
15,0.015499999999999799,103
15,0.015499999999999799,104
15,0.015499999999999799,105
15,0.015499999999999799,106
15,0.015499999999999799,107
15,0.015499999999999799,108
15,0.015499999999999799,109
15,0.015499999999999799,110
15,0.01751499999999977,111
15,0.01751499999999977,112
15,0.017204999999999776,113
15,0.016894999999999778,114
15,0.016584999999999784,115
15,0.016507499999999786,116
15,0.016584999999999784,117
15,0.016894999999999778,118
15,0.0170499999999998,119
15,0.016429999999999834,120
15,0.016119999999999836,121
15,0.016119999999999843,122
15,0.016119999999999846,123
15,0.016119999999999846,124
15,0.016119999999999836,125
15,0.01611999999999983,126
15,0.01611999999999983,127
22,0.9747519444443747,0
22,0.9743355555554857,1
22,0.9743974999999305,2
22,0.974153055555488,3
22,0.9741297222221528,4
22,0.9746455555554867,5
22,0.02224249999999971,6
22,0.022009999999999714,7
22,0.021932499999999713,8
22,0.02208749999999971,9
22,0.02208749999999971,10
22,0.022552499999999705,11
22,0.06478999999999915,12
22,0.06440249999999915,13
22,0.06471249999999916,14
22,0.06509999999999914,15
22,0.06564249999999915,16
22,0.06548749999999914,17
22,0.07439999999999909,18
22,0.07439999999999909,19
22,0.07439999999999916,20
22,0.07439999999999909,21
22,0.07439999999999908,22
22,0.07408999999999906,23
22,0.03766499999999951,24
22,0.0380524999999995,25
22,0.03789749999999951,26
22,0.0379749999999995,27
22,0.03743249999999953,28
22,0.037354999999999514,29
22,0.07439999999999908,30
22,0.07439999999999906,31
22,0.07439999999999906,32
22,0.07439999999999906,33
22,0.07439999999999906,34
22,0.07439999999999906,35
22,0.034719999999999564,36
22,0.03471999999999956,37
22,0.03471999999999956,38
22,0.03471999999999956,39
22,0.034719999999999564,40
22,0.034719999999999564,41
22,0.03595999999999955,42
22,0.035959999999999555,43
22,0.03595999999999954,44
22,0.03595999999999954,45
22,0.03595999999999954,46
22,0.03564999999999954,47
22,0.013019999999999837,48
22,0.012399999999999847,49
22,0.012399999999999847,50
22,0.012399999999999838,51
22,0.012399999999999838,52
22,0.012399999999999838,53
22,0.01921999999999981,54
22,0.019219999999999814,55
22,0.019219999999999814,56
22,0.019219999999999814,57
22,0.019219999999999803,58
22,0.019219999999999796,59
22,0.007594999999999901,60
22,0.006974999999999909,61
22,0.00689749999999991,62
22,0.006974999999999909,63
22,0.006974999999999909,64
22,0.006974999999999909,65
22,0.024799999999999774,66
22,0.024799999999999774,67
22,0.024799999999999774,68
22,0.024799999999999763,69
22,0.024799999999999826,70
22,0.024799999999999763,71
22,0.024179999999999716,72
22,0.024179999999999716,73
22,0.023559999999999724,74
22,0.023559999999999724,75
22,0.023559999999999717,76
22,0.023559999999999717,77
22,0.010539999999999862,78
22,0.010539999999999862,79
22,0.010539999999999862,80
22,0.010539999999999862,81
22,0.00991999999999987,82
22,0.00991999999999987,83
22,0.07687999999999903,84
22,0.07687999999999903,85
22,0.07687999999999903,86
22,0.07687999999999903,87
22,0.07687999999999903,88
22,0.07625999999999904,89
22,0.07563999999999904,90
22,0.07563999999999904,91
22,0.07532999999999902,92
22,0.07501999999999903,93
22,0.07501999999999903,94
22,0.013174999999999878,95
22,0.013717499999999884,96
22,0.013717499999999869,97
22,0.01371749999999987,98
22,0.013407499999999873,99
22,0.013639999999999866,100
22,0.013019999999999858,101
22,0.013019999999999858,102
22,0.013019999999999851,103
22,0.013019999999999844,104
22,0.01270999999999985,105
22,0.0464999999999994,106
22,0.04649999999999941,107
22,0.046499999999999396,108
22,0.0458799999999994,109
22,0.0458799999999994,110
22,0.03037999999999961,111
22,0.014879999999999817,112
22,0.014879999999999807,113
22,0.014879999999999807,114
22,0.014879999999999807,115
22,0.01456999999999981,116
22,0.016739999999999852,117
22,0.016739999999999852,118
22,0.016739999999999852,119
22,0.016739999999999852,120
22,0.01611999999999986,121
22,0.014569999999999845,122
22,0.011314999999999853,123
22,0.01146999999999985,124
22,0.011004999999999857,125
22,0.010849999999999858,126
22,0.010849999999999858,127
29,0.9808627777777382,0
29,0.9810055555555162,1
29,0.9807961111110713,2
29,0.9806094444444042,3
29,0.9762336111110534,4
29,0.02603999999999966,5
29,0.025729999999999663,6
29,0.025884999999999662,7
