tasks,average_utilization,average utilization
1,,0.3809965505643039
8,,0.2007563389757042
15,,0.13821822157119198
22,,0.11637867621528966
29,,0.10313898871528991
36,,0.09796120225695654
43,,0.08880702148438659
50,,0.08807993815105318
57,,0.08347470160591391
