tasks,average_utilization,average utilization
1,,0.07620869466145735
8,,0.0762086946614574
15,,0.07230498914930485
22,,0.06348726779513819
29,,0.06340008029513818
36,,0.04780324652777725
43,,0.047711215277777254
50,,0.04758891059027725
57,,0.047419379340277255
