function_name,device_type,start_time,end_time,model_loading,exec_time,res_time,GPU_Memory,cpu,warm,device,75_cpu_usage,memory,gpu_util
bert,cpu,1677558093.1796372,1677558093.6634343,0.40257716178894043,0.08121991157531738,0.4837970733642578,,2,False,Xeon(R) Gold 6330,2.0202329450915726,1148.046875
bert-qa,cpu,1677558103.9097219,1677558104.998022,0.8487739562988281,0.23952627182006836,1.0883002281188965,,2,False,Xeon(R) Gold 6330,126.99020642739839,4.66015625
lasbe,cpu,1677558115.2086453,1677558116.7915447,1.5376274585723877,0.045271873474121094,1.5828993320465088,,2,False,Xeon(R) Gold 6330,183.12227324913894,4.9453125
resnet-101,cpu,1677558127.295894,1677558128.101218,0.17950177192687988,0.6258223056793213,0.8053240776062012,,2,False,Xeon(R) Gold 6330,131.93729450446216,1460.29296875
resnet-152,cpu,1677558138.2804437,1677558139.5829513,0.28003835678100586,1.0224692821502686,1.3025076389312744,,2,False,Xeon(R) Gold 6330,423.9140602986757,1761.078125
resnet-50,cpu,1677558149.7580094,1677558166.6955843,0.4430251121520996,16.49454975128174,16.937574863433838,,2,False,Xeon(R) Gold 6330,639.0700770323834,718.80859375
shufflenet,cpu,1677558177.0080302,1677558194.926611,0.2270369529724121,17.69154381752014,17.918580770492554,,2,False,Xeon(R) Gold 6330,1530.9375124576438,519.98046875
vggnet11,cpu,1677558205.1864095,1677558222.3708088,0.7694227695465088,16.414976596832275,17.184399366378784,,2,False,Xeon(R) Gold 6330,1591.8560561386957,4.796875
bert,cpu,1677558235.9092565,1677558242.1242185,0.6640830039978027,5.550879001617432,6.214962005615234,,2,True,Xeon(R) Gold 6330,648.3036280603832,380.71875
bert-qa,cpu,1677558252.4264717,1677558275.9688456,1.084787368774414,22.457586526870728,23.54237389564514,,2,True,Xeon(R) Gold 6330,634.9175714285715,484.828125
lasbe,cpu,1677558286.4334373,1677558304.0839882,2.8072752952575684,14.843275547027588,17.650550842285156,,2,True,Xeon(R) Gold 6330,1715.775956589841,4432.87109375
resnet-101,cpu,1677558314.4081442,1677558349.8357294,0.4885857105255127,34.93899941444397,35.42758512496948,,2,True,Xeon(R) Gold 6330,870.6305291637829,1460.29296875
resnet-152,cpu,1677558360.2089925,1677558409.300856,0.5776474475860596,48.51421618461609,49.09186363220215,,2,True,Xeon(R) Gold 6330,311.7412136536031,1761.078125
resnet-50,cpu,1677558419.633603,1677558437.9797566,0.13673853874206543,18.209414958953857,18.346153497695923,,2,True,Xeon(R) Gold 6330,80.0656565656568,880.15234375
shufflenet,cpu,1677558448.2124205,1677558467.179582,0.05027055740356445,18.91689109802246,18.967161655426025,,2,True,Xeon(R) Gold 6330,993.0075792640596,614.5546875
vggnet11,cpu,1677558477.411391,1677558489.885188,0.40262913703918457,12.071167945861816,12.473797082901001,,2,True,Xeon(R) Gold 6330,321.0311914794009,744.4296875

bert,cpu,1677557732.921021,1677557734.3957586,0.665170431137085,0.8095672130584717,1.4747376441955566,,4,False,Xeon(R) Gold 6330,216.2495076026156,380.69921875
bert-qa,cpu,1677557744.8426352,1677557749.1892157,1.267911672592163,3.0786688327789307,4.346580505371094,,4,False,Xeon(R) Gold 6330,682.9212337368765,4.38671875
lasbe,cpu,1677557759.5425925,1677557763.4572275,2.5439910888671875,1.3706438541412354,3.914634943008423,,4,False,Xeon(R) Gold 6330,194.95575406153685,5.1015625
resnet-101,cpu,1677557773.7325752,1677557776.920111,0.4707367420196533,2.716799020767212,3.1875357627868652,,4,False,Xeon(R) Gold 6330,1.3097495478708892,1080.79296875
resnet-152,cpu,1677557787.317064,1677557792.6914709,0.6189937591552734,4.755413055419922,5.374406814575195,,4,False,Xeon(R) Gold 6330,73.72500532935408,380.625
resnet-50,cpu,1677557802.9587116,1677557805.992559,0.4312434196472168,2.6026039123535156,3.0338473320007324,,4,False,Xeon(R) Gold 6330,1.242713617825445,822.20703125
shufflenet,cpu,1677557816.3081186,1677557819.4073093,0.262434720993042,2.8367559909820557,3.0991907119750977,,4,False,Xeon(R) Gold 6330,1.0163672654691607,616.140625
vggnet11,cpu,1677557829.7127578,1677557835.6144943,0.5571458339691162,5.344590663909912,5.901736497879028,,4,False,Xeon(R) Gold 6330,202.22331865796264,4.96484375
bert,cpu,1677557849.0987487,1677557849.7820468,0.3448069095611572,0.33849120140075684,0.6832981109619141,,4,True,Xeon(R) Gold 6330,212.87958404779022,479.8515625
bert-qa,cpu,1677557860.0609303,1677557862.080278,0.8427164554595947,1.176631212234497,2.019347667694092,,4,True,Xeon(R) Gold 6330,682.9212337368765,484.21484375
lasbe,cpu,1677557872.3761964,1677557874.384163,1.5112359523773193,0.4967305660247803,2.0079665184020996,,4,True,Xeon(R) Gold 6330,485.7376786735278,379.3515625
resnet-101,cpu,1677557885.0004096,1677557887.783964,0.2086653709411621,2.5748889446258545,2.7835543155670166,,4,True,Xeon(R) Gold 6330,706.0305472263868,1080.65234375
resnet-152,cpu,1677557898.11335,1677557901.3860002,0.2508368492126465,3.02181339263916,3.2726502418518066,,4,True,Xeon(R) Gold 6330,73.72500532935408,898.4609375
resnet-50,cpu,1677557911.771405,1677557913.3793235,0.12221097946166992,1.4857075214385986,1.6079185009002686,,4,True,Xeon(R) Gold 6330,540.4530467762327,822.20703125
shufflenet,cpu,1677557923.6069014,1677557925.6832592,0.049360036849975586,2.0269978046417236,2.076357841491699,,4,True,Xeon(R) Gold 6330,932.5771496815287,602.03125
